,Candidate,State,District,Office Type,Partisan Lean,Primary %,Won Primary,Gender,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,Hillary_Won?,Obama_Won?
22,Paul Spencer,AR,U.S. House Arkansas District 2,Representative,-0.1351,0.1255,No,Male,White,No,No,No,No,No,No,0.8258786351303127,0.10206141308319806,0.038882549175598614,0.1741213648696874,0.025501110955839745,0.5095101127616931,0.38633654147493457,0.1693438995893373,45209.0,0.07097237819659484,0.13430506067544187,0.7898811265620798,0.12346188674358986,0.7765492207338539,0.5886165731777947,0,0
23,Joshua Mahony,AR,U.S. House Arkansas District 3,Representative,-0.34560001,1.0,Yes,Male,White,No,No,No,No,No,No,0.8473644640045479,0.01701077942889564,0.08215092208294243,0.152635535995452,0.052792923349726795,0.5053279549010388,0.3756034354792964,0.1823016260857738,40606.0,0.06204091499208058,0.1576021207020373,0.8071758325761579,0.13407955980033764,0.798410001143246,0.612954049294988,0,0
24,Hayden Shamel,AR,U.S. House Arkansas District 4,Representative,-0.3368,1.0,Yes,Male,White,No,No,No,No,No,No,0.7355025152684207,0.17012657135664427,0.06302622049427335,0.2644974847315794,0.03611230320654874,0.5071543750214367,0.3759569969727623,0.17972531037807052,36896.030303030304,0.08048921541951644,0.17509884767847567,0.8493131750689806,0.14439718473593544,0.833268642898103,0.6725110201034741,0,0
25,Hiral Tipirneni,AZ,U.S. House Arizona District 8,Representative,-0.24559999,0.60220001,Yes,Female,Nonwhite,No,No,No,No,Yes,No,0.569181144704393,0.050136124087053896,0.302868328103687,0.430818855295607,0.147293330714637,0.505492779956899,0.41886620412278297,0.138378432054991,55676.0,0.06808454051663429,0.130519269124124,0.6903113668935529,0.050940617519331204,0.628825998664754,0.0236379969490063,0,0
26,Akinyemi Agbede,CA,Governor of California,Governor,0.2583,0.0022,No,Male,Nonwhite,No,No,No,No,Yes,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
27,Albert Caesar Mezzetti,CA,Governor of California,Governor,0.2583,0.0028000000000000004,No,Male,White,Yes,No,Yes,No,No,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
28,Amanda Renteria,CA,Governor of California,Governor,0.2583,0.021500001,No,Female,Nonwhite,No,No,No,No,No,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
29,Antonio Villaraigosa,CA,Governor of California,Governor,0.2583,0.21290001,No,Male,Nonwhite,No,No,Yes,No,No,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
30,Delaine Eastin,CA,Governor of California,Governor,0.2583,0.054000001,No,Female,White,No,No,Yes,No,No,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
31,Gavin Newsom,CA,Governor of California,Governor,0.2583,0.53869999,Yes,Male,White,No,No,Yes,No,No,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
32,John Chiang,CA,Governor of California,Governor,0.2583,0.1508,No,Male,Nonwhite,No,No,Yes,No,Yes,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
33,Juan Bribiesca,CA,Governor of California,Governor,0.2583,0.0040000001000000006,No,Male,Nonwhite,No,No,No,No,Yes,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
34,Klement Tinaj,CA,Governor of California,Governor,0.2583,0.0012,No,Female,Nonwhite,No,No,No,No,No,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
35,Michael Shellenberger,CA,Governor of California,Governor,0.2583,0.0073000002,No,Male,White,No,No,No,No,No,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
36,Robert Davidson Griffis,CA,Governor of California,Governor,0.2583,0.0025999999000000003,No,Male,White,No,No,No,No,No,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
37,Thomas Jefferson Cares,CA,Governor of California,Governor,0.2583,0.0020999999,No,Male,White,No,No,No,No,Yes,No,0.4634679472619054,0.04315412002048222,0.3463991340095978,0.5365320527380943,0.22159870814444926,0.4992873716072278,0.40189001000806424,0.14329788879120994,61594.1129032258,0.09146370187367049,0.17425878278569049,0.7126733167196404,0.06359758006578513,0.6301698620327228,0.16332841136589846,1,1
38,Audrey Denney,CA,U.S. House California District 1,Representative,-0.21379998999999997,0.43650002,Yes,Female,White,No,No,No,No,No,No,0.7528619753724284,0.015493584646054624,0.15908723258060511,0.24713802462757153,0.07494083803177759,0.48645617214633374,0.33916809857552166,0.19926462929636088,48361.181818181816,0.092247192682436,0.12858568074473728,0.7829636635781564,0.07862378926803623,0.7649353087286065,0.5241139508583468,0,0
39,David Peterson,CA,U.S. House California District 1,Representative,-0.21379998999999997,0.07300000200000001,No,Male,White,No,No,No,No,No,No,0.7528619753724284,0.015493584646054624,0.15908723258060511,0.24713802462757153,0.07494083803177759,0.48645617214633374,0.33916809857552166,0.19926462929636088,48361.181818181816,0.092247192682436,0.12858568074473728,0.7829636635781564,0.07862378926803623,0.7649353087286065,0.5241139508583468,0,0
40,Jessica Holcombe,CA,U.S. House California District 1,Representative,-0.21379998999999997,0.28540001,No,Female,White,No,No,No,No,No,No,0.7528619753724284,0.015493584646054624,0.15908723258060511,0.24713802462757153,0.07494083803177759,0.48645617214633374,0.33916809857552166,0.19926462929636088,48361.181818181816,0.092247192682436,0.12858568074473728,0.7829636635781564,0.07862378926803623,0.7649353087286065,0.5241139508583468,0,0
41,Marty Walters,CA,U.S. House California District 1,Representative,-0.21379998999999997,0.2051,No,Male,White,No,No,No,No,No,No,0.7528619753724284,0.015493584646054624,0.15908723258060511,0.24713802462757153,0.07494083803177759,0.48645617214633374,0.33916809857552166,0.19926462929636088,48361.181818181816,0.092247192682436,0.12858568074473728,0.7829636635781564,0.07862378926803623,0.7649353087286065,0.5241139508583468,0,0
42,Dotty Nygard,CA,U.S. House California District 10,Representative,0.0062,0.0189,No,Female,White,No,No,No,No,Yes,No,0.3898865685094255,0.0457797281836672,0.42382658043355903,0.6101134314905745,0.2180120805788265,0.5041459745740785,0.4489106268896975,0.11942500984443048,53317.99999999999,0.128435958012835,0.22200763192880948,0.8265905903274025,0.09984861803812717,0.774646828997997,0.08226783494283894,1,1
43,Josh Harder,CA,U.S. House California District 10,Representative,0.0062,0.3557,Yes,Male,White,No,No,No,No,Yes,No,0.3898865685094255,0.0457797281836672,0.42382658043355903,0.6101134314905745,0.2180120805788265,0.5041459745740785,0.4489106268896975,0.11942500984443048,53317.99999999999,0.128435958012835,0.22200763192880948,0.8265905903274025,0.09984861803812717,0.774646828997997,0.08226783494283894,1,1
44,Michael Eggman,CA,U.S. House California District 10,Representative,0.0062,0.2134,No,Male,White,No,No,No,No,No,No,0.3898865685094255,0.0457797281836672,0.42382658043355903,0.6101134314905745,0.2180120805788265,0.5041459745740785,0.4489106268896975,0.11942500984443048,53317.99999999999,0.128435958012835,0.22200763192880948,0.8265905903274025,0.09984861803812717,0.774646828997997,0.08226783494283894,1,1
45,Mike Barkley,CA,U.S. House California District 10,Representative,0.0062,0.049800000000000004,No,Male,White,Yes,No,No,No,Yes,No,0.3898865685094255,0.0457797281836672,0.42382658043355903,0.6101134314905745,0.2180120805788265,0.5041459745740785,0.4489106268896975,0.11942500984443048,53317.99999999999,0.128435958012835,0.22200763192880948,0.8265905903274025,0.09984861803812717,0.774646828997997,0.08226783494283894,1,1
46,Sue Zwahlen,CA,U.S. House California District 10,Representative,0.0062,0.17049999,No,Female,White,No,No,Yes,No,Yes,No,0.3898865685094255,0.0457797281836672,0.42382658043355903,0.6101134314905745,0.2180120805788265,0.5041459745740785,0.4489106268896975,0.11942500984443048,53317.99999999999,0.128435958012835,0.22200763192880948,0.8265905903274025,0.09984861803812717,0.774646828997997,0.08226783494283894,1,1
47,Virginia Madueno,CA,U.S. House California District 10,Representative,0.0062,0.1917,No,Female,Nonwhite,No,No,Yes,No,No,No,0.3898865685094255,0.0457797281836672,0.42382658043355903,0.6101134314905745,0.2180120805788265,0.5041459745740785,0.4489106268896975,0.11942500984443048,53317.99999999999,0.128435958012835,0.22200763192880948,0.8265905903274025,0.09984861803812717,0.774646828997997,0.08226783494283894,1,1
